Gene	Consequencia	Significancia_Clinica	rs_key	UniProt_ID	rsID_dbSNP	Proteina_Mudanca	AlphaMissense_Score	AlphaMissense_Classificacao	ID_UniProt	Nome_Proteina	Organismo	Status	Link_AlphaFold
TRBV20OR9-2	missense_variant		1052383830										
TRBV20OR9-2	missense_variant		1165106366										
TRBV20OR9-2	missense_variant		1181327234										
TRBV20OR9-2	missense_variant		1186189904										
TRBV20OR9-2	missense_variant		1189423054										
TRBV20OR9-2	missense_variant		1214420203										
TRBV20OR9-2	missense_variant		1214718572										
TRBV20OR9-2	missense_variant		1228293659										
TRBV20OR9-2	missense_variant		12380761										
TRBV20OR9-2	missense_variant		1246121112										
TRBV20OR9-2	missense_variant		1264348128										
TRBV20OR9-2	missense_variant		1274831984										
TRBV20OR9-2	missense_variant		1276388123										
TRBV20OR9-2	missense_variant		1279755195										
TRBV20OR9-2	missense_variant		1289368281										
TRBV20OR9-2	missense_variant		1292181084										
TRBV20OR9-2	missense_variant		1298503541										
TRBV20OR9-2	missense_variant		1304056780										
TRBV20OR9-2	missense_variant		1328126054										
TRBV20OR9-2	missense_variant		1337956132										
TRBV20OR9-2	missense_variant		1339566364										
TRBV20OR9-2	missense_variant		1349092125										
TRBV20OR9-2	missense_variant		1358658716										
TRBV20OR9-2	missense_variant		1366254124										
TRBV20OR9-2	missense_variant		1374598589										
TRBV20OR9-2	missense_variant		1376782008										
TRBV20OR9-2	missense_variant		1383664487										
TRBV20OR9-2	missense_variant		1387118392										
TRBV20OR9-2	missense_variant		1388402880										
TRBV20OR9-2	missense_variant		1392195755										
TRBV20OR9-2	missense_variant		139663623										
TRBV20OR9-2	missense_variant		1396796737										
TRBV20OR9-2	missense_variant		1424522512										
TRBV20OR9-2	missense_variant		1429236500										
TRBV20OR9-2	missense_variant		1429987812										
TRBV20OR9-2	missense_variant		1434166949										
TRBV20OR9-2	missense_variant		1457251296										
TRBV20OR9-2	missense_variant		1463425336										
TRBV20OR9-2	missense_variant		1587308253										
TRBV20OR9-2	missense_variant		1820549026										
TRBV20OR9-2	missense_variant		1820553681										
TRBV20OR9-2	missense_variant		1820554119										
TRBV20OR9-2	missense_variant		1820554404										
TRBV20OR9-2	missense_variant		1820555488										
TRBV20OR9-2	missense_variant		1820556153										
TRBV20OR9-2	missense_variant		1820556648										
TRBV20OR9-2	missense_variant		1820556667										
TRBV20OR9-2	missense_variant		1820556680										
TRBV20OR9-2	missense_variant		1820556803										
TRBV20OR9-2	missense_variant		190329158										
TRBV20OR9-2	missense_variant		2118275224										
TRBV20OR9-2	missense_variant		2118275284										
TRBV20OR9-2	missense_variant		2118275460										
TRBV20OR9-2	missense_variant		2118275471										
TRBV20OR9-2	missense_variant		2118275827										
TRBV20OR9-2	missense_variant		2118276036										
TRBV20OR9-2	missense_variant		2380835										
TRBV20OR9-2	missense_variant		376993937										
TRBV20OR9-2	missense_variant		45480803										
TRBV20OR9-2	missense_variant		45497592										
TRBV20OR9-2	missense_variant		45575231										
TRBV20OR9-2	missense_variant		45593731										
TRBV20OR9-2	missense_variant		45618335										
TRBV20OR9-2	missense_variant		542672631										
TRBV20OR9-2	missense_variant		545335261										
TRBV20OR9-2	missense_variant		547022043										
TRBV20OR9-2	missense_variant		559696110										
TRBV20OR9-2	missense_variant		746476782										
TRBV20OR9-2	missense_variant		747839645										
TRBV20OR9-2	missense_variant		747903112										
TRBV20OR9-2	missense_variant		748990557										
TRBV20OR9-2	missense_variant		749799245										
TRBV20OR9-2	missense_variant		753927955										
TRBV20OR9-2	missense_variant		754784042										
TRBV20OR9-2	missense_variant		754909627										
TRBV20OR9-2	missense_variant		756084154										
TRBV20OR9-2	missense_variant		756101942										
TRBV20OR9-2	missense_variant		756735066										
TRBV20OR9-2	missense_variant		757466983										
TRBV20OR9-2	missense_variant		760170053										
TRBV20OR9-2	missense_variant		761540495										
TRBV20OR9-2	missense_variant		762076222										
TRBV20OR9-2	missense_variant		763159014										
TRBV20OR9-2	missense_variant		764391753										
TRBV20OR9-2	missense_variant		764434860										
TRBV20OR9-2	missense_variant		765225185										
TRBV20OR9-2	missense_variant		768389108										
TRBV20OR9-2	missense_variant		769188378										
TRBV20OR9-2	missense_variant		771771475										
TRBV20OR9-2	missense_variant		773479048										
TRBV20OR9-2	missense_variant		773815374										
TRBV20OR9-2	missense_variant		774667832										
TRBV20OR9-2	missense_variant		774723264										
TRBV20OR9-2	missense_variant		777816236										
TRBV20OR9-2	missense_variant		778844073										
TRBV20OR9-2	missense_variant		778897231										
TRBV20OR9-2	missense_variant		779952047										
TRBV20OR9-2	missense_variant		855512										
TRBV20OR9-2	missense_variant		966447										
TRBV20OR9-2	missense_variant		974289978										
